Year,Avg_Temp,7 years MA,10 years MA,20 years MA
1750,8.72,,,
1751,7.98,,,
1752,5.78,,,
1753,8.39,,,
1754,8.47,,,
1755,8.36,,,
1756,8.85,8.078571429,,
1757,9.02,8.121428571,,
1758,6.74,7.944285714,,
1759,7.99,8.26,8.03,
1760,7.19,8.088571429,7.877,
1761,8.77,8.131428571,7.956,
1762,8.61,8.167142857,8.239,
1763,7.5,7.974285714,8.15,
1764,8.4,7.885714286,8.143,
1765,8.25,8.101428571,8.132,
1766,8.41,8.161428571,8.088,
1767,8.22,8.308571429,8.008,
1768,6.78,8.024285714,8.012,
1769,7.69,7.892857143,7.982,8.006
1770,7.69,7.92,8.032,7.9545
1771,7.85,7.841428571,7.94,7.948
1772,8.19,7.832857143,7.898,8.0685
1773,8.22,7.805714286,7.97,8.06
1774,8.77,7.884285714,8.007,8.075
1775,9.18,8.227142857,8.1,8.116
1776,8.3,8.314285714,8.089,8.0885
1777,8.26,8.395714286,8.093,8.0505
1778,8.54,8.494285714,8.269,8.1405
1779,8.98,8.607142857,8.398,8.19
1780,9.43,8.78,8.572,8.302
1781,8.1,8.684285714,8.597,8.2685
1782,7.9,8.501428571,8.568,8.233
1783,7.68,8.412857143,8.514,8.242
1784,7.86,8.355714286,8.423,8.215
1785,7.36,8.187142857,8.241,8.1705
1786,8.26,8.084285714,8.237,8.163
1787,8.03,7.884285714,8.214,8.1535
1788,8.45,7.934285714,8.205,8.237
1789,8.33,7.995714286,8.14,8.269
1790,7.98,8.038571429,7.995,8.2835
1791,8.23,8.091428571,8.008,8.3025
1792,8.09,8.195714286,8.027,8.2975
1793,8.23,8.191428571,8.082,8.298
1794,8.53,8.262857143,8.149,8.286
1795,8.35,8.248571429,8.248,8.2445
1796,8.27,8.24,8.249,8.243
1797,8.51,8.315714286,8.297,8.2555
1798,8.67,8.378571429,8.319,8.262
1799,8.51,8.438571429,8.337,8.2385
1800,8.48,8.474285714,8.387,8.191
1801,8.59,8.482857143,8.423,8.2155
1802,8.58,8.515714286,8.472,8.2495
1803,8.5,8.548571429,8.499,8.2905
1804,8.84,8.595714286,8.53,8.3395
1805,8.56,8.58,8.551,8.3995
1806,8.43,8.568571429,8.567,8.408
1807,8.28,8.54,8.544,8.4205
1808,7.63,8.402857143,8.44,8.3795
1809,7.08,8.188571429,8.297,8.317
1810,6.92,7.962857143,8.141,8.264
1811,6.86,7.68,7.968,8.1955
1812,7.05,7.464285714,7.815,8.1435
1813,7.74,7.365714286,7.739,8.119
1814,7.59,7.267142857,7.614,8.072
1815,7.24,7.211428571,7.482,8.0165
1816,6.94,7.191428571,7.333,7.95
1817,6.98,7.2,7.203,7.8735
1818,7.83,7.338571429,7.223,7.8315
1819,7.37,7.384285714,7.252,7.7745
1820,7.62,7.367142857,7.322,7.7315
1821,8.09,7.438571429,7.445,7.7065
1822,8.19,7.574285714,7.559,7.687
1823,7.72,7.685714286,7.557,7.648
1824,8.55,7.91,7.653,7.6335
1825,8.39,7.99,7.768,7.625
1826,8.36,8.131428571,7.91,7.6215
1827,8.81,8.301428571,8.093,7.648
1828,8.17,8.312857143,8.127,7.675
1829,7.94,8.277142857,8.184,7.718
1830,8.52,8.391428571,8.274,7.798
1831,7.64,8.261428571,8.229,7.837
1832,7.45,8.127142857,8.155,7.857
1833,8.01,8.077142857,8.184,7.8705
1834,8.15,7.982857143,8.144,7.8985
1835,7.39,7.871428571,8.044,7.906
1836,7.7,7.837142857,7.978,7.944
1837,7.38,7.674285714,7.835,7.964
1838,7.51,7.655714286,7.769,7.948
1839,7.63,7.681428571,7.738,7.961
1840,7.8,7.651428571,7.666,7.97
1841,7.69,7.585714286,7.671,7.95
1842,8.02,7.675714286,7.728,7.9415
1843,8.17,7.742857143,7.744,7.964
1844,7.65,7.781428571,7.694,7.919
1845,7.85,7.83,7.74,7.892
1846,8.55,7.961428571,7.825,7.9015
1847,8.09,8.002857143,7.896,7.8655
1848,7.98,8.044285714,7.943,7.856
1849,7.98,8.038571429,7.978,7.858
1850,7.9,8,7.988,7.827
1851,8.18,8.075714286,8.037,7.854
1852,8.1,8.111428571,8.045,7.8865
1853,8.04,8.038571429,8.032,7.888
1854,8.21,8.055714286,8.088,7.891
1855,8.11,8.074285714,8.114,7.927
1856,8,8.077142857,8.059,7.942
1857,7.76,8.057142857,8.026,7.961
1858,8.1,8.045714286,8.038,7.9905
1859,8.25,8.067142857,8.065,8.0215
1860,7.96,8.055714286,8.071,8.0295
1861,7.85,8.004285714,8.038,8.0375
1862,7.56,7.925714286,7.984,8.0145
1863,8.11,7.941428571,7.991,8.0115
1864,7.98,7.972857143,7.968,8.028
1865,8.18,7.984285714,7.975,8.0445
1866,8.29,7.99,8.004,8.0315
1867,8.44,8.058571429,8.072,8.049
1868,8.25,8.115714286,8.087,8.0625
1869,8.43,8.24,8.105,8.085
1870,8.2,8.252857143,8.129,8.1
1871,8.12,8.272857143,8.156,8.097
1872,8.19,8.274285714,8.219,8.1015
1873,8.35,8.282857143,8.243,8.117
1874,8.43,8.281428571,8.288,8.128
1875,7.86,8.225714286,8.256,8.1155
1876,8.08,8.175714286,8.235,8.1195
1877,8.54,8.224285714,8.245,8.1585
1878,8.83,8.325714286,8.303,8.195
1879,8.17,8.322857143,8.277,8.191
1880,8.12,8.29,8.269,8.199
1881,8.27,8.267142857,8.284,8.22
1882,8.13,8.305714286,8.278,8.2485
1883,7.98,8.291428571,8.241,8.242
1884,7.77,8.181428571,8.175,8.2315
1885,7.92,8.051428571,8.181,8.2185
1886,7.95,8.02,8.168,8.2015
1887,7.91,7.99,8.105,8.175
1888,8.09,7.964285714,8.031,8.167
1889,8.32,7.991428571,8.046,8.1615
1890,7.97,7.99,8.031,8.15
1891,8.02,8.025714286,8.006,8.145
1892,8.07,8.047142857,8,8.139
1893,8.06,8.062857143,8.008,8.1245
1894,8.16,8.098571429,8.047,8.111
1895,8.15,8.107142857,8.07,8.1255
1896,8.21,8.091428571,8.096,8.132
1897,8.29,8.137142857,8.134,8.1195
1898,8.18,8.16,8.143,8.087
1899,8.4,8.207142857,8.151,8.0985
1900,8.5,8.27,8.204,8.1175
1901,8.54,8.324285714,8.256,8.131
1902,8.3,8.345714286,8.279,8.1395
1903,8.22,8.347142857,8.295,8.1515
1904,8.09,8.318571429,8.288,8.1675
1905,8.23,8.325714286,8.296,8.183
1906,8.38,8.322857143,8.313,8.2045
1907,7.95,8.244285714,8.279,8.2065
1908,8.19,8.194285714,8.28,8.2115
1909,8.18,8.177142857,8.258,8.2045
1910,8.22,8.177142857,8.23,8.217
1911,8.18,8.19,8.194,8.225
1912,8.17,8.181428571,8.181,8.23
1913,8.3,8.17,8.189,8.242
1914,8.59,8.261428571,8.239,8.2635
1915,8.59,8.318571429,8.275,8.2855
1916,8.23,8.325714286,8.26,8.2865
1917,8.02,8.297142857,8.267,8.273
1918,8.13,8.29,8.261,8.2705
1919,8.38,8.32,8.281,8.2695
1920,8.36,8.328571429,8.295,8.2625
1921,8.57,8.325714286,8.334,8.264
1922,8.41,8.3,8.358,8.2695
1923,8.42,8.327142857,8.37,8.2795
1924,8.51,8.397142857,8.362,8.3005
1925,8.53,8.454285714,8.356,8.3155
1926,8.73,8.504285714,8.406,8.333
1927,8.52,8.527142857,8.456,8.3615
1928,8.63,8.535714286,8.506,8.3835
1929,8.24,8.511428571,8.492,8.3865
1930,8.63,8.541428571,8.519,8.407
1931,8.72,8.571428571,8.534,8.434
1932,8.71,8.597142857,8.564,8.461
1933,8.34,8.541428571,8.556,8.463
1934,8.63,8.557142857,8.568,8.465
1935,8.52,8.541428571,8.567,8.4615
1936,8.55,8.585714286,8.549,8.4775
1937,8.7,8.595714286,8.567,8.5115
1938,8.86,8.615714286,8.59,8.548
1939,8.76,8.622857143,8.642,8.567
1940,8.76,8.682857143,8.655,8.587
1941,8.77,8.702857143,8.66,8.597
1942,8.73,8.732857143,8.662,8.613
1943,8.76,8.762857143,8.704,8.63
1944,8.85,8.784285714,8.726,8.647
1945,8.58,8.744285714,8.732,8.6495
1946,8.68,8.732857143,8.745,8.647
1947,8.8,8.738571429,8.755,8.661
1948,8.75,8.735714286,8.744,8.667
1949,8.59,8.715714286,8.727,8.6845
1950,8.37,8.66,8.688,8.6715
1951,8.63,8.628571429,8.674,8.667
1952,8.64,8.637142857,8.665,8.6635
1953,8.87,8.664285714,8.676,8.69
1954,8.56,8.63,8.647,8.6865
1955,8.63,8.612857143,8.652,8.692
1956,8.28,8.568571429,8.612,8.6785
1957,8.73,8.62,8.605,8.68
1958,8.77,8.64,8.607,8.6755
1959,8.73,8.652857143,8.621,8.674
1960,8.58,8.611428571,8.642,8.665
1961,8.8,8.645714286,8.659,8.6665
1962,8.75,8.662857143,8.67,8.6675
1963,8.86,8.745714286,8.669,8.6725
1964,8.41,8.7,8.654,8.6505
1965,8.53,8.665714286,8.644,8.648
1966,8.6,8.647142857,8.676,8.644
1967,8.7,8.664285714,8.673,8.639
1968,8.52,8.624285714,8.648,8.6275
1969,8.6,8.602857143,8.635,8.628
1970,8.7,8.58,8.647,8.6445
1971,8.6,8.607142857,8.627,8.643
1972,8.5,8.602857143,8.602,8.636
1973,8.95,8.652857143,8.611,8.64
1974,8.47,8.62,8.617,8.6355
1975,8.74,8.651428571,8.638,8.641
1976,8.35,8.615714286,8.613,8.6445
1977,8.85,8.637142857,8.628,8.6505
1978,8.69,8.65,8.645,8.6465
1979,8.73,8.682857143,8.658,8.6465
1980,8.98,8.687142857,8.686,8.6665
1981,9.17,8.787142857,8.743,8.685
1982,8.64,8.772857143,8.757,8.6795
1983,9.03,8.87,8.765,8.688
1984,8.69,8.847142857,8.787,8.702
1985,8.66,8.842857143,8.779,8.7085
1986,8.83,8.857142857,8.827,8.72
1987,8.99,8.858571429,8.841,8.7345
1988,9.2,8.862857143,8.892,8.7685
1989,8.92,8.902857143,8.911,8.7845
1990,9.23,8.931428571,8.936,8.811
1991,9.18,9.001428571,8.937,8.84
1992,8.84,9.027142857,8.957,8.857
1993,8.87,9.032857143,8.941,8.853
1994,9.04,9.04,8.976,8.8815
1995,9.35,9.061428571,9.045,8.912
1996,9.04,9.078571429,9.066,8.9465
1997,9.2,9.074285714,9.087,8.964
1998,9.52,9.122857143,9.119,9.0055
1999,9.29,9.187142857,9.156,9.0335
2000,9.2,9.234285714,9.153,9.0445
2001,9.41,9.287142857,9.176,9.0565
2002,9.57,9.318571429,9.249,9.103
2003,9.53,9.388571429,9.315,9.128
2004,9.32,9.405714286,9.343,9.1595
2005,9.7,9.431428571,9.378,9.2115
2006,9.53,9.465714286,9.427,9.2465
2007,9.73,9.541428571,9.48,9.2835
2008,9.43,9.544285714,9.471,9.295
2009,9.51,9.535714286,9.493,9.3245
2010,9.7,9.56,9.543,9.348
2011,9.52,9.588571429,9.554,9.365
2012,9.51,9.561428571,9.548,9.3985
2013,9.61,9.572857143,9.556,9.4355
2014,9.57,9.55,9.581,9.462
2015,9.83,9.607142857,9.594,9.486
